country,age,tenure,balance,products_number,active_member,churn
Germany,34,4,148375.19,2,1,0
France,44,8,0.0,2,1,0
Spain,34,6,147422.44,1,1,0
Spain,24,7,173962.32,1,0,1
France,47,0,0.0,1,1,1
Germany,64,6,145215.43,1,1,0
France,38,5,167539.97,1,1,0
France,39,1,94968.97,1,0,0
Germany,27,3,106116.5,2,0,0
France,34,5,0.0,2,1,0
France,45,2,0.0,2,0,0
France,31,9,0.0,2,0,0
Germany,34,8,120018.86,2,1,0
France,37,2,112541.54,2,0,0
France,35,5,166118.45,2,0,0
France,45,1,102882.4,2,1,1
France,49,8,0.0,1,1,1
France,37,1,106881.5,2,0,0
Germany,26,4,120727.97,1,1,0
France,63,8,169832.57,1,0,1
France,41,5,0.0,2,1,0
Germany,38,9,113599.42,1,0,0
Spain,38,6,0.0,1,1,1
France,32,9,0.0,2,0,0
France,47,3,0.0,2,0,0
Spain,50,4,0.0,2,1,0
Spain,38,6,146282.79,2,0,0
Germany,38,6,119413.62,2,0,0
Germany,29,3,122084.63,1,1,0
Germany,35,1,103060.63,1,0,1
France,44,6,0.0,2,1,0
France,33,8,0.0,2,0,0
Germany,37,9,110483.86,1,1,0
France,31,9,120718.28,1,1,0
Spain,31,2,36566.96,1,0,1
Germany,28,8,108601.0,1,1,0
France,42,4,0.0,1,0,1
Spain,36,5,0.0,2,1,0
France,36,4,0.0,2,1,0
Spain,48,2,0.0,2,1,0
Germany,44,1,141136.62,1,0,1
Germany,45,9,108231.37,1,1,0
France,40,6,0.0,1,0,1
Spain,34,6,144855.34,1,0,0
France,63,2,68432.45,2,1,1
France,45,6,136855.24,1,0,0
France,55,3,44020.89,1,0,1
Germany,32,9,133060.63,1,1,0
Spain,39,7,0.0,2,1,0
France,24,1,0.0,1,1,0
France,36,5,97665.61,1,0,1
Germany,28,5,185013.02,1,0,0
Spain,32,0,0.0,2,1,0
France,52,7,65971.61,2,0,1
Germany,41,9,150463.11,2,1,0
France,33,1,0.0,2,0,0
Spain,39,9,0.0,2,0,0
France,37,5,136425.18,1,0,0
Spain,38,3,250898.09,3,1,1
France,55,4,146798.81,1,1,0
Spain,70,1,0.0,2,0,0
Germany,40,7,128486.91,2,0,0
France,38,9,0.0,2,1,0
Spain,37,1,143407.29,2,1,0
France,43,2,0.0,1,0,1
France,57,6,76165.65,1,1,0
France,40,4,0.0,2,0,0
Spain,49,8,0.0,2,1,0
Germany,33,6,90560.3,2,1,0
France,61,3,62391.22,1,1,0
France,42,5,0.0,3,0,0
France,31,7,0.0,2,1,0
Germany,55,1,123378.2,1,0,1
Spain,42,3,99836.47,1,1,0
Germany,74,5,161434.36,2,1,0
Spain,41,5,0.0,2,1,0
Germany,48,10,138311.76,1,1,1
France,25,7,0.0,2,0,0
Spain,28,4,0.0,2,0,0
Germany,35,6,101744.84,1,0,0
Spain,33,8,0.0,1,0,0
Germany,54,4,125456.07,1,0,1
France,44,7,0.0,2,0,0
France,31,2,0.0,2,1,0
France,27,7,0.0,2,0,1
France,29,5,0.0,2,0,0
Germany,54,4,118449.21,1,1,1
France,30,2,0.0,1,1,0
Spain,32,9,178095.55,1,0,0
Germany,25,2,109175.14,2,0,0
France,32,7,127785.17,4,0,1
France,45,6,0.0,2,1,0
France,40,9,0.0,2,1,0
Germany,34,9,134260.36,2,0,0
France,37,8,69143.91,2,1,0
France,34,4,100054.77,1,0,0
France,45,6,0.0,1,1,0
France,38,2,116248.88,1,0,0
Spain,43,6,86053.52,2,1,1
France,32,6,123157.95,1,0,0
France,44,1,63438.91,1,0,0
Germany,57,9,95295.39,1,0,1
France,18,4,133550.67,1,1,0
France,38,1,106871.81,2,0,0
Spain,45,3,105266.32,2,1,0
France,51,2,105229.53,1,0,1
France,41,8,102768.42,1,0,0
France,18,7,0.0,2,1,1
France,35,6,112689.95,1,0,0
France,38,9,122334.26,2,1,0
Spain,34,1,0.0,2,0,0
Spain,33,4,137847.41,2,0,0
France,49,5,122486.47,1,1,0
France,33,2,101286.11,1,1,0
Spain,26,7,0.0,2,1,0
Spain,57,4,101247.06,1,0,1
France,38,10,86977.96,1,1,0
France,57,7,0.0,1,0,1
France,55,9,110123.59,1,1,1
France,36,8,178111.82,1,0,1
Germany,65,10,126306.64,3,0,1
France,35,6,100768.77,1,0,0
France,42,5,0.0,2,0,0
France,44,3,0.0,2,1,0
France,40,7,118991.79,1,1,0
France,72,3,140997.26,1,1,0
France,28,5,0.0,2,1,0
Germany,32,6,166824.59,1,0,0
France,34,2,76322.69,1,0,0
France,35,6,0.0,2,1,0
Spain,77,8,149083.7,1,1,0
France,33,7,0.0,2,1,0
France,40,9,0.0,1,1,0
France,33,1,126588.81,2,1,0
Germany,56,2,143249.67,1,0,1
Germany,43,8,81844.91,2,1,0
France,40,4,0.0,1,1,0
Germany,58,9,190298.89,2,1,0
Germany,35,2,117212.18,1,1,0
France,46,0,0.0,2,1,0
France,26,4,139848.17,1,0,0
Germany,34,9,101861.36,2,0,0
Spain,35,2,167455.66,2,1,0
France,24,4,0.0,2,1,0
Spain,43,1,116360.07,1,0,0
Spain,40,3,88466.82,1,0,0
France,42,7,0.0,2,1,0
Germany,46,5,123642.36,1,1,1
Spain,38,9,0.0,1,1,0
France,38,9,72286.84,2,1,0
France,40,1,0.0,2,0,0
Spain,40,1,109681.61,1,1,0
Germany,37,9,145018.64,2,0,1
Spain,34,8,0.0,1,1,0
Spain,32,8,187487.63,1,1,0
France,35,2,165692.91,1,1,0
Germany,59,5,137648.41,1,0,1
Spain,47,6,118560.0,1,0,1
France,33,8,164385.53,1,0,0
France,37,9,108286.5,1,1,0
France,34,2,0.0,2,1,0
Spain,58,9,0.0,2,0,1
Germany,47,2,118079.47,4,1,1
Spain,35,2,127283.78,1,1,0
Spain,48,8,0.0,2,0,0
France,29,6,141389.06,1,0,0
France,37,8,130091.5,1,1,0
France,35,4,143744.77,2,0,0
Spain,28,9,97408.03,1,1,0
Spain,30,9,111927.45,1,1,0
France,31,3,0.0,2,0,0
Spain,38,2,0.0,1,0,0
France,34,1,0.0,1,1,0
France,33,1,188285.68,1,0,0
France,46,2,109705.52,1,0,1
Spain,33,9,0.0,2,0,0
Germany,34,1,127122.79,3,1,0
France,40,0,98241.04,1,0,0
Germany,37,8,170840.08,2,0,0
Germany,41,4,87541.06,2,1,1
France,26,4,62610.96,2,1,0
France,36,9,0.0,2,1,0
France,47,5,113328.93,1,0,0
Spain,35,2,104832.49,1,0,0
Spain,31,9,102289.85,1,1,0
Germany,34,6,125227.82,2,1,0
Germany,49,5,140510.89,1,0,0
Germany,35,6,132253.22,1,0,1
Germany,43,2,39043.29,2,1,0
France,34,8,0.0,2,1,0
Spain,55,9,99685.06,1,0,0
Germany,38,3,125385.49,2,1,0
Spain,46,2,131365.37,2,1,0
Spain,58,6,98308.51,1,1,0
France,37,8,0.0,2,0,0
Spain,44,5,140856.16,2,0,0
France,30,8,0.0,2,1,0
France,35,2,172274.01,1,0,0
Spain,36,8,0.0,2,0,0
Spain,38,0,122447.76,1,0,0
France,38,10,0.0,2,1,1
Spain,56,6,157559.59,2,0,1
Germany,41,3,126550.7,1,0,1
France,30,2,158584.82,3,0,1
France,28,2,163569.61,2,1,0
France,31,3,0.0,1,1,1
Germany,33,6,127211.45,1,0,0
Germany,42,3,118199.97,2,0,1
Germany,30,2,101014.08,2,1,0
Spain,38,6,119208.85,1,0,1
France,66,6,0.0,2,1,0
France,58,10,53772.73,1,1,1
Spain,39,6,0.0,2,0,0
Germany,41,2,138878.81,1,1,0
Spain,37,1,130922.81,2,0,0
France,35,9,0.0,2,1,0
Spain,20,8,0.0,2,1,0
Spain,25,8,130866.19,1,0,0
Germany,33,7,187257.94,1,1,0
Spain,41,7,0.0,1,1,0
France,36,6,147733.64,1,1,0
Spain,43,1,0.0,2,1,0
France,33,2,163139.27,1,1,0
Spain,35,4,0.0,2,1,0
France,36,5,119540.15,1,1,0
France,41,4,129553.76,2,0,0
France,55,9,0.0,2,1,0
Germany,61,1,66101.89,1,1,0
France,43,2,140431.98,1,0,1
France,49,2,0.0,2,0,0
France,29,0,0.0,1,1,0
France,35,5,0.0,2,0,0
Germany,37,4,116471.43,2,0,1
France,39,4,0.0,2,0,0
France,56,9,123785.24,1,0,1
France,33,4,0.0,2,1,0
France,38,8,88758.95,2,0,1
Germany,25,5,153611.83,2,0,0
Germany,57,4,112044.72,1,1,1
Spain,27,7,123826.07,1,1,0
France,65,9,106804.26,3,0,1
France,48,6,0.0,2,1,0
France,59,2,68892.77,2,0,1
France,43,6,0.0,2,0,0
France,33,5,125827.43,1,1,0
Spain,34,9,0.0,2,0,0
France,36,7,0.0,2,1,0
Germany,40,5,148495.64,1,0,0
France,37,1,133043.66,1,0,0
France,45,9,74989.58,1,1,0
Germany,39,7,60263.23,1,0,0
Germany,50,3,129370.91,4,1,1
Germany,44,5,157955.83,2,0,0
France,26,4,0.0,1,0,0
France,30,7,70729.17,1,1,0
France,48,8,0.0,2,1,1
Spain,50,2,0.0,2,0,0
Spain,27,8,90721.52,2,0,0
France,27,2,0.0,2,1,0
Spain,45,0,57784.22,1,0,1
France,33,9,131765.72,1,0,0
France,40,7,0.0,1,1,1
Germany,47,9,110022.74,1,1,1
France,40,9,131569.63,1,1,0
Germany,61,2,164523.5,2,1,0
Germany,25,2,114330.95,1,1,0
Spain,45,10,135923.16,1,0,0
France,61,8,0.0,2,1,0
France,49,4,0.0,2,1,0
Spain,45,0,124693.48,1,1,0
Spain,35,7,147936.42,1,1,0
France,29,0,0.0,1,0,0
France,34,2,126558.92,1,0,0
Germany,57,6,106938.11,2,1,0
Germany,33,4,140002.35,1,0,0
Germany,46,9,123444.72,1,1,1
France,32,6,147107.91,1,1,0
France,19,9,128514.84,1,0,0
France,55,5,0.0,1,0,1
Germany,40,9,106756.01,2,0,0
Spain,28,3,0.0,2,0,0
France,37,6,0.0,2,0,0
Germany,50,5,155393.32,1,1,1
France,36,2,110414.48,1,1,0
Spain,33,2,0.0,2,1,0
Germany,37,9,157098.52,1,1,0
Germany,38,5,85626.6,1,1,0
Germany,45,6,93796.42,2,1,0
Spain,41,1,0.0,2,0,0
France,51,6,125268.03,2,0,0
France,29,2,148143.84,1,1,0
Spain,29,10,115545.33,2,0,0
Spain,35,7,0.0,2,0,0
France,30,5,44928.88,1,1,0
Spain,29,2,0.0,2,1,0
France,35,3,162442.35,1,0,0
Spain,39,5,0.0,2,1,0
Germany,28,0,96213.82,2,0,0
France,29,6,156569.43,1,0,0
Spain,36,8,0.0,2,0,0
Spain,37,1,0.0,2,0,0
Germany,48,6,110463.25,2,1,1
France,33,7,154575.76,1,0,1
Spain,35,9,0.0,2,0,0
France,37,3,0.0,2,1,0
Germany,26,5,147037.32,1,0,0
Germany,41,0,119276.31,1,0,1
France,25,7,108664.85,2,0,0
Spain,44,5,0.0,1,0,0
Germany,38,5,163034.82,2,1,0
Germany,49,4,93059.34,1,0,1
Spain,38,9,179581.31,1,0,0
Germany,46,4,113625.93,1,0,1
Germany,55,7,119961.48,1,0,1
France,45,3,129209.48,1,0,0
Germany,42,5,137227.04,3,0,1
Germany,58,3,119024.75,2,0,1
France,35,7,74623.5,3,0,1
Spain,45,2,157929.45,1,1,1
France,26,7,92606.86,2,0,0
Germany,35,2,127862.93,2,0,0
Spain,42,1,0.0,1,1,1
Germany,37,4,142711.81,1,0,0
France,38,4,0.0,2,0,0
France,43,1,163159.85,1,1,0
Germany,32,3,108586.86,1,1,0
Germany,41,5,110624.99,1,0,0
Germany,43,5,154846.24,2,1,0
Germany,45,4,122917.71,1,1,1
France,33,9,0.0,2,1,0
France,31,2,82787.93,2,0,0
Germany,32,5,102500.34,1,0,0
France,34,9,0.0,2,0,0
Germany,39,9,159492.79,1,0,1
Spain,48,10,0.0,2,1,0
Spain,54,7,118241.02,1,0,1
France,35,2,113090.4,1,0,0
France,22,9,65763.57,1,1,0
Germany,43,1,125537.38,1,0,1
France,31,3,94263.91,2,0,0
Spain,29,4,133434.57,2,0,0
Spain,39,6,0.0,1,1,0
Spain,31,9,0.0,2,1,0
France,50,9,94748.76,2,1,0
France,38,4,98640.74,1,1,0
France,26,9,74681.9,2,0,0
France,34,4,0.0,2,0,0
Spain,41,7,179915.85,1,0,1
France,30,1,128207.23,1,1,0
France,42,9,132739.26,2,0,0
France,40,10,0.0,2,0,0
France,27,4,120509.81,1,0,0
France,46,4,124547.13,2,0,0
Spain,39,4,0.0,2,1,0
Germany,34,4,88815.56,2,0,1
Spain,35,1,82231.51,2,0,0
Germany,32,7,184715.86,2,0,0
France,31,3,0.0,2,0,0
Spain,51,4,0.0,1,1,0
Germany,28,4,147972.19,1,0,1
France,43,9,0.0,2,1,0
France,52,8,170008.84,1,0,1
France,27,3,0.0,2,1,0
Spain,34,10,0.0,1,0,0
Spain,42,8,95386.82,1,1,0
Germany,51,7,90373.28,2,0,0
Germany,34,4,133467.77,2,1,0
Spain,30,3,0.0,2,1,0
France,31,3,96288.26,1,0,0
France,26,4,91547.84,2,1,0
Germany,37,8,138292.64,2,0,1
France,35,9,0.0,1,0,0
Spain,32,8,71667.74,1,1,0
Germany,43,0,118994.84,1,0,1
Spain,55,7,0.0,2,1,0
Germany,37,2,145610.07,2,0,0
France,33,1,138162.81,1,0,0
Germany,31,9,135020.21,2,1,0
France,38,2,0.0,2,0,0
Germany,25,8,135161.67,1,1,0
France,52,9,0.0,1,0,1
France,32,6,94486.47,1,1,0
France,46,9,117640.39,1,0,0
Spain,33,8,111379.55,1,1,0
France,40,6,0.0,1,1,1
Spain,57,0,136820.99,1,1,0
France,46,7,98752.51,1,0,0
Germany,25,2,158266.42,3,1,0
France,29,4,105599.67,1,1,0
France,29,10,0.0,2,0,0
France,31,2,0.0,2,1,0
Spain,39,4,139723.9,1,1,0
France,41,3,141806.46,1,0,0
Germany,49,5,132571.67,1,1,1
France,40,2,180516.9,1,0,0
France,31,8,0.0,2,1,0
Germany,41,4,92805.72,1,1,1
France,22,4,0.0,3,1,1
Germany,39,3,135309.36,1,0,1
Spain,74,6,128917.84,1,1,0
France,52,2,56580.93,1,0,1
Germany,42,8,131390.75,2,0,0
Spain,37,4,0.0,2,0,0
France,41,8,0.0,2,0,0
Germany,61,1,97361.66,1,1,1
France,42,6,0.0,1,0,1
Spain,59,7,0.0,2,1,0
Spain,29,10,0.0,2,1,0
France,34,1,0.0,2,0,0
France,57,0,0.0,2,1,0
Germany,29,4,102714.65,2,0,0
France,34,5,67816.72,1,1,0
France,51,8,81710.46,1,1,0
France,26,2,75237.54,1,1,0
Germany,28,10,124023.18,1,0,0
Germany,46,5,100727.5,1,1,1
France,46,10,107238.85,2,0,0
France,24,5,0.0,2,0,0
France,29,0,139994.66,1,0,0
Spain,59,9,126224.87,1,1,0
Germany,51,1,145751.03,1,0,1
France,47,5,0.0,1,1,1
Spain,25,4,121166.89,1,1,0
Spain,38,1,0.0,2,1,0
Spain,88,10,0.0,2,1,0
France,63,9,70655.48,1,0,1
Germany,41,1,129901.21,1,0,1
France,40,8,125470.81,1,1,0
France,53,9,169406.33,4,1,1
France,32,2,0.0,2,1,0
Germany,40,4,107041.3,1,1,0
Spain,32,10,95153.77,1,1,0
Germany,32,3,145166.09,2,0,0
France,27,4,0.0,2,0,0
France,38,9,65962.63,1,1,0
Germany,36,6,140418.81,1,1,1
Spain,31,3,139799.63,1,1,0
Germany,49,9,171787.84,2,0,0
France,38,6,149238.97,1,1,0
Germany,57,4,163146.46,1,0,1
France,37,8,0.0,2,0,1
France,32,10,0.0,2,0,0
Germany,38,9,61482.47,1,1,0
France,41,8,145150.28,1,0,1
France,41,5,126670.37,1,0,0
France,40,8,84390.8,2,1,0
Germany,37,2,89728.86,2,1,0
France,57,1,0.0,2,0,0
Spain,40,4,118628.8,1,0,0
France,37,3,0.0,2,0,0
France,39,6,96863.13,1,1,0
France,38,6,142263.45,1,1,0
Spain,36,7,0.0,2,0,0
France,32,3,0.0,1,0,0
Spain,21,1,0.0,2,0,0
France,28,6,122724.37,1,1,0
Germany,35,4,174902.26,1,0,0
Spain,26,4,0.0,2,1,0
Germany,31,3,108914.17,1,1,1
Spain,23,10,98052.66,1,1,0
France,46,5,123873.19,1,1,0
Germany,56,2,111920.13,3,0,1
France,45,4,0.0,2,1,0
France,20,3,0.0,2,1,0
France,37,8,0.0,2,1,0
France,37,8,75150.34,4,1,1
France,38,10,0.0,2,0,0
Germany,38,5,114753.76,1,0,0
France,32,0,0.0,1,0,0
France,32,6,111871.93,1,0,0
Spain,45,0,0.0,2,0,0
Germany,37,4,135927.06,1,0,0
Spain,44,8,0.0,2,1,0
France,33,1,0.0,2,0,0
France,46,2,57037.74,1,1,0
France,50,10,0.0,4,0,1
France,52,2,79468.96,1,1,0
Germany,34,7,121063.85,1,0,0
France,51,1,118537.47,1,1,0
France,39,10,0.0,2,0,0
Germany,26,4,105082.07,2,0,0
France,40,4,0.0,1,0,1
France,36,6,0.0,2,1,0
Germany,36,2,104702.65,2,0,0
France,50,2,95813.76,3,1,1
Spain,62,0,167026.61,2,1,0
Germany,61,7,102453.26,1,0,1
Germany,25,4,148045.45,2,1,0
France,35,1,0.0,2,0,0
France,24,1,0.0,2,0,0
Spain,52,4,0.0,1,1,1
France,34,10,104498.79,1,1,0
Spain,29,6,0.0,2,0,0
France,42,6,0.0,2,1,0
France,26,8,149542.52,2,1,0
France,29,10,87946.39,1,1,0
France,45,3,68639.57,1,0,1
Germany,47,4,148826.32,1,1,0
France,60,2,0.0,2,1,0
France,61,5,108166.09,2,1,0
Germany,35,5,103214.71,1,0,0
Germany,40,1,134760.21,2,0,1
France,58,3,0.0,1,1,1
France,33,0,90124.64,1,0,0
Spain,38,6,0.0,2,1,0
Germany,46,6,87361.02,2,0,1
Germany,45,8,111257.59,1,0,1
France,61,3,131583.59,4,1,1
Germany,41,9,95020.8,3,1,1
Spain,24,1,0.0,2,1,0
Germany,34,5,80242.37,2,0,0
France,43,0,0.0,1,1,0
France,50,1,0.0,3,1,1
Spain,59,0,122661.39,1,1,0
France,50,4,0.0,2,1,1
France,36,8,0.0,2,1,1
France,42,0,0.0,2,0,0
France,53,3,0.0,1,1,0
Spain,46,7,81742.84,2,0,0
Spain,71,8,0.0,1,1,1
Spain,30,2,145127.85,1,0,0
France,38,9,148912.44,1,0,0
Spain,41,4,0.0,2,1,0
France,26,4,89900.24,2,0,0
Germany,30,8,119027.28,2,1,0
Germany,40,2,105222.86,2,0,0
Spain,30,6,0.0,1,0,1
Spain,34,1,116114.93,1,1,0
France,58,9,187911.55,1,1,0
France,27,5,0.0,2,1,0
France,38,6,144432.04,1,1,1
France,50,4,77065.9,2,1,0
Germany,29,6,180520.29,1,1,0
France,42,1,0.0,2,0,0
Germany,47,6,130024.87,1,1,1
Germany,40,2,110086.69,1,0,0
Spain,31,5,174853.46,1,0,0
France,44,7,108724.98,1,1,0
France,58,9,91285.13,2,1,0
Spain,40,2,0.0,2,1,0
Germany,51,9,110610.41,2,1,1
Germany,54,5,102994.04,1,0,1
Spain,36,4,59893.85,2,0,0
Germany,29,8,149318.55,1,0,0
France,32,1,116409.55,1,1,0
Germany,30,0,127760.07,1,0,1
Germany,38,6,132591.36,1,1,1
France,31,0,0.0,2,0,0
France,46,5,113402.14,2,1,0
France,31,7,0.0,2,0,0
France,40,0,0.0,1,0,0
France,28,9,0.0,2,1,0
France,50,6,136953.47,1,1,0
France,33,8,0.0,2,1,0
France,32,5,0.0,1,1,0
France,44,8,123863.64,1,0,0
Spain,22,7,120811.89,1,1,0
Germany,38,2,148430.55,1,1,0
Germany,40,6,47869.69,2,1,0
Germany,53,7,150926.99,2,0,0
Germany,47,6,103163.35,1,0,1
France,29,10,130206.28,1,0,0
France,28,4,136674.51,2,0,0
Spain,40,2,200322.45,1,1,0
Spain,48,1,0.0,2,1,0
Spain,62,7,80927.56,1,1,0
France,24,10,0.0,3,0,1
Spain,41,9,0.0,2,1,0
Germany,28,0,142574.71,2,0,0
Germany,34,7,160426.07,1,1,0
France,25,5,116160.23,1,0,0
Spain,34,5,98683.47,2,0,0
France,32,3,118829.03,2,1,0
France,31,1,118870.92,1,0,0
France,32,1,0.0,1,1,0
France,46,2,0.0,1,1,0
France,38,4,107192.38,1,1,0
France,42,3,108010.78,1,1,0
Spain,34,3,0.0,2,0,0
France,26,7,129837.72,2,1,0
Germany,58,3,106458.31,4,0,1
France,63,9,97009.15,1,1,0
Spain,35,9,122929.42,2,0,0
Germany,45,6,152296.83,4,1,1
France,30,1,0.0,2,0,0
Spain,49,8,0.0,1,0,1
France,35,6,128993.76,2,0,0
France,36,5,0.0,1,0,0
Germany,27,0,185267.45,2,1,0
France,28,9,0.0,2,0,0
Spain,29,3,116805.82,1,0,0
Germany,29,5,129750.68,1,0,0
Germany,29,2,129177.01,2,1,0
Germany,25,6,82506.72,2,0,0
Germany,48,2,107247.69,1,1,1
Spain,42,3,0.0,1,0,1
Germany,36,3,157780.93,2,0,0
France,35,1,172170.36,1,1,0
Spain,48,2,0.0,2,1,0
France,41,1,0.0,1,1,0
Spain,42,9,75361.44,1,0,1
France,27,4,0.0,2,1,0
Spain,30,2,0.0,2,1,0
France,29,0,98263.46,2,0,0
France,43,9,0.0,2,1,0
Germany,40,3,109308.79,2,0,1
Spain,31,8,0.0,2,0,0
Germany,28,6,164365.44,1,1,0
Spain,22,5,98800.0,1,0,0
France,27,4,193125.85,1,1,0
France,27,5,51522.75,1,1,0
France,23,5,84284.48,2,1,0
Spain,39,5,0.0,2,0,0
France,51,9,119889.84,1,0,1
France,21,4,137910.45,1,1,0
France,37,6,0.0,2,0,0
France,33,5,100116.82,1,0,0
Germany,40,4,166082.15,2,1,0
France,38,0,0.0,2,0,0
Spain,26,3,0.0,1,0,0
France,44,3,148595.55,1,0,1
Germany,53,2,94078.97,2,0,0
Spain,34,5,0.0,2,1,0
France,29,9,0.0,1,1,0
Germany,40,2,164948.98,3,0,1
France,62,4,140549.4,1,0,1
France,44,2,152509.25,1,1,0
France,28,2,191864.51,1,0,1
France,44,8,96418.09,1,0,1
Spain,32,2,131945.94,1,1,0
France,29,3,0.0,2,1,0
Germany,30,9,142910.15,1,0,1
France,37,7,0.0,2,1,0
France,35,3,146311.58,1,1,0
France,52,2,87894.26,1,0,1
France,19,5,97445.49,2,0,0
France,64,9,0.0,1,1,1
Spain,35,7,0.0,2,1,0
France,34,2,154485.74,2,0,0
France,50,2,115625.07,1,0,0
France,25,7,108396.67,1,0,0
Germany,38,5,65095.41,2,1,0
Germany,43,1,103018.45,1,0,1
France,38,10,84764.79,1,1,0
France,38,10,0.0,2,0,0
Spain,35,4,115680.81,1,1,0
France,39,5,0.0,2,0,0
Germany,36,5,73088.06,2,0,0
Germany,27,3,150905.03,2,0,0
Spain,23,9,143054.85,1,1,0
Spain,28,7,0.0,2,0,0
France,60,6,0.0,2,1,0
Germany,42,0,99948.45,1,1,0
France,44,3,115451.05,2,0,0
Germany,32,4,108235.91,1,1,0
France,38,8,0.0,1,1,1
Spain,42,2,98795.61,2,0,0
France,37,1,0.0,2,0,0
France,31,8,0.0,2,0,0
France,34,2,0.0,2,1,0
Germany,29,3,113146.98,2,1,0
Germany,39,8,162532.14,3,0,1
Spain,40,0,92053.44,1,1,0
France,48,7,0.0,2,1,0
France,28,5,0.0,3,0,1
Germany,29,8,104944.1,1,1,0
France,31,4,0.0,2,0,0
France,31,2,0.0,2,0,0
France,30,4,107879.04,1,1,0
Germany,46,7,110356.42,1,0,1
France,27,2,0.0,2,0,0
Spain,34,4,109783.69,2,0,0
France,22,9,149777.0,1,1,0
France,38,3,104339.56,1,0,0
Spain,21,1,85818.18,1,1,0
France,37,4,212692.97,1,0,0
Germany,37,1,89696.84,2,1,0
France,28,9,0.0,2,1,0
Germany,32,9,68067.24,1,0,0
Spain,67,9,148564.66,1,1,0
France,55,8,136354.16,1,1,0
France,38,1,122214.0,1,1,0
France,45,3,0.0,2,1,0
Germany,70,6,119684.88,2,1,0
France,39,3,135139.33,1,1,0
Germany,42,9,146100.75,1,0,1
Spain,56,8,123110.9,3,1,1
Germany,44,3,111760.4,3,1,1
France,32,9,110728.39,1,1,0
France,41,8,121558.46,1,1,0
Germany,38,8,120623.21,1,0,0
France,58,4,114713.57,1,1,0
Germany,37,3,103457.76,1,0,0
Germany,57,2,101134.87,2,1,0
Germany,46,10,78136.36,2,1,0
France,23,1,0.0,2,0,0
Spain,30,3,133446.34,1,0,0
France,33,7,0.0,2,1,0
Germany,48,1,108076.33,1,0,1
France,32,5,131354.25,1,0,0
Germany,37,7,62974.64,2,1,0
Germany,30,2,143340.44,1,0,0
Germany,36,8,116993.43,2,0,0
France,31,4,58662.92,2,1,0
Spain,41,3,128808.65,3,0,1
France,45,7,137555.44,1,0,0
Germany,34,4,142393.11,1,1,0
France,38,8,0.0,2,0,0
France,41,2,125785.23,1,1,0
France,22,4,136444.25,1,0,1
Spain,38,7,121527.4,1,0,0
Germany,52,9,144696.75,1,1,0
France,36,8,0.0,2,1,0
France,35,10,0.0,2,1,0
Germany,48,8,128140.17,1,0,1
France,25,6,120383.41,1,1,0
France,57,9,0.0,3,1,1
France,42,8,129735.3,2,1,0
Spain,31,8,185078.26,1,0,1
France,28,6,0.0,2,0,0
France,42,0,0.0,1,1,0
Spain,31,7,0.0,2,1,0
France,29,1,144591.96,1,1,0
France,45,4,0.0,2,0,1
France,36,6,0.0,2,0,0
France,37,7,0.0,1,0,0
Germany,68,2,100194.44,1,1,0
Germany,50,6,145295.31,2,1,0
Germany,28,3,106070.29,2,1,0
Germany,47,6,120621.89,1,1,0
France,38,7,0.0,2,1,0
France,36,9,0.0,2,1,0
France,30,1,0.0,1,1,0
Germany,27,10,171283.91,1,1,0
France,26,4,0.0,2,1,0
Germany,38,1,128218.47,1,0,1
France,32,5,0.0,2,1,0
Germany,28,7,77776.39,1,0,0
Germany,72,6,124978.19,2,1,0
France,29,1,0.0,2,0,0
France,28,1,0.0,1,1,0
Spain,51,3,109799.55,2,1,1
France,39,7,0.0,2,0,0
Germany,61,8,125397.21,1,0,1
Spain,71,10,0.0,2,1,0
Germany,38,9,111347.37,2,1,0
Spain,40,8,104291.41,2,1,0
Germany,61,9,94867.18,2,1,1
France,24,8,0.0,2,0,0
France,33,6,135703.59,2,0,0
Germany,37,5,106453.53,2,1,0
France,43,7,132412.38,1,0,1
Germany,40,9,124401.6,1,0,1
France,46,6,118022.06,3,0,1
Germany,39,1,82531.11,1,0,0
Spain,44,0,184552.12,1,0,1
Germany,39,4,127278.31,1,1,0
Spain,66,3,0.0,1,1,0
France,45,2,0.0,2,1,0
Germany,23,5,184244.86,1,0,0
France,52,8,59669.43,1,0,1
France,25,7,79543.59,1,1,0
France,39,6,151553.19,1,1,0
Germany,27,2,166527.88,2,1,0
Germany,28,6,150329.15,1,0,0
France,43,8,121911.59,1,0,0
France,51,9,156773.78,2,0,0
Spain,29,8,127864.26,1,1,0
France,53,4,113709.28,1,1,1
Germany,43,7,79974.55,1,1,0
France,44,2,0.0,2,1,0
France,51,5,0.0,1,0,1
Spain,38,0,0.0,1,0,1
France,33,3,144427.96,2,0,0
France,42,7,99263.09,1,1,0
France,32,2,79368.87,2,1,0
France,30,10,0.0,2,1,0
Spain,34,9,0.0,2,1,0
France,28,2,0.0,3,1,0
France,52,7,125095.94,1,0,1
Germany,40,2,162485.8,2,0,0
Germany,37,1,95668.82,2,0,0
France,25,4,0.0,2,0,0
Spain,30,8,0.0,2,1,0
France,37,4,0.0,1,0,0
France,34,5,74197.38,2,0,0
France,31,1,89688.94,1,1,0
Spain,33,10,103121.33,2,1,0
Spain,34,3,0.0,1,0,0
Germany,59,5,120170.07,1,1,0
France,32,9,149136.31,2,1,0
France,40,1,141136.79,1,1,0
